Numéro;Matière (s) Active (s);Famille Chimique;Classe;Culture;indice GUS final;Coefficient d'adsorption (Koc);hydrolyse half-life (days);Solubilité (mg/L);"DT50 champ
(jours)";Hydrolyse à pH 7;"CL50 poisson
(mg.L-1)";CI50 daphnie (mg.L-1);CE50 algues (mg.L-1);CL50 min;DL50 Derm. Mg/kg;DL50 Oral Mg/kg;DJA mg/kg/jour;Classem  OMS;DAR (jour);Numéro Homologation;Nom Commercial;Formulation;Tableau Tox.;Teneur;Type de traitement;Dose PC
1;2,4-D;Aryloxyacide;Herbicide;Céréales;3,719;46,000;39,00;27600,0000;9,9;très stable;100;100;24,2;24,2;> 1600;375;0.3;II;-;E11-9-030;CALIDICOTE;SL;C;720 g/l;Parties aériennes;0,6 l/ha
2;2,4-DB;Aryloxyacide;Herbicide;Céréales;1,986;224,000;16,00;4385,0000;15,6;très stable;3,5;25;1,1;1,1;;370 - 700;0,02;III;-;E06-5-001;DIALEN >ER 464 SL;SL;C;(344 + 120)g/l;Désherbage;0,75 l/ha
3;2,4-D + MCPA;Aryloxyacide;Herbicide;Céréales;2,506;74,000;15,00;29390,0000;25,0;stable;50;190;32,9;32,9;> 1000;700;0,013;III;-;E11-8-069;HORMA;SL;C;(275 + 275)g/l;Désherbage;1 l/ha
4;Abamectine;Aryloxyacide;"Insecticide-
Acaricide";Fraisier, melon,  culture maraichères, agrume et plante aromatique;0,443;5638,000;;1,2100;7,0;stable;4,3;55;37;4,3;> 2000;10;0.0002;III;14 j;F11-0-053;ABAMEC;EC;A;18 g/l;Parties aériennes;50 cc/hl
5;Acequinocyl;;Acaricide;Nectarier et pommier;-0,300;100666,000;2,00;0,0070;;;;;;;> 2000;5000;;;-;E04-4-002;KANEMITE SC 15%;SC;C;15%;Parties aériennes;150 cc/hl
6;Ac Naphtylacétique;Biopesticide;Régulateur de croissance;;2,266;385,000;40,00;420,0000;10,0;;28;180;63,2;28;> 5000;1000 - 1500;;III;;;;;C;;;
7;Acéphate;Organophosphoré;Insecticide;Agrumes, arbres fruitiers, betterave et maraichage;1,140;40,300;3,00;790000,0000;3,0;stable;110;67,2;980;67,2;> 2000;945;0.003;III;15 j;;;;C;;;700g/l
8;Acetamipride;Néonicotinoide;Insecticide;Agrumes, pommier et tomate;0,400;106,500;1,60;2950,0000;2,9;très stable;100;49,8;98,3;49,8;> 2000;217;0,07;;-;D03-9-005;MOSPILAN 20 SL;SL;C;20%;Parties aériennes;2 cc/hl
9;Acétochlore;Chloroacetamide;Herbicide;Mais;2,071;156,000;14,00;282,0000;13,0;stable;0,36;8,4;0,00099;0,00099;4166;2148;0.01;III;;;;;;;;
10;Acide gibbérellique (GA3);;Régulateur de croissance;"Agrumes, vigne;, pomme de terre";3,438;10,000;14,00;40000,0000;;;;;;;;> 15000;;IV;NR;E01-4-006;ACCEL;SP;N;20%;Parties aériennes;1 g/hl
11;Acrinathrine;Pyréthrinoïde;"Insecticide-
Acaricide";Fraisier, pecher, poirier et vigne;-1,173;48231,000;52,00;0,0020;52,0;stable;5,66;0,57;0,82;0,57;> 2000;> 5000;0.02;III;21 j;D02-7-002;ORYTIS EW 7,5;EW;C;75 g/l;Parties aériennes;60 cc/hl
12;Alachlore;Chloroacetamide;Herbicide;;2,781;131,000;30,00;200,0000;14,0;instable;1,8;10;0,966;0,966;13300;930;0,01;III;;;;;C;;;
13;Alanycarbe;;Insecticide;Agrumes;;20,000;;20,0000;;;;;;;> 2000;440;;II;-;D04-7-001;OKAY 100 EC;EC;A;100 g/l;Parties aériennes;150 cc/hl
14;Aldicarbe;Carbamate;Nématicide;;0,960;30,000;2,40;4930,0000;46,8;très stable;0,145;0,209;42,4;0,145;20;0.93;0.001;;50 J;;;;;;;
15;Alpha-Cyperméthrine;;Insecticide;Betterave à sucre, tomate, melon, pomier et pastèque;-1,530;57889,000;100,00;0,0040;;;;;;;> 500;79;;II;21 j;E02-7-021;ALPHATAC;EC;C;100 g/l;Parties aériennes;100 cc/ha
16;Alphaméthrine;Pyréthrinoïde;Herbicide;;-1,528;57889,000;101,00;0,0040;35,0;très stable;0,0028;0,0003;0,1;0,0003;;66;0,015;III;;;;;;;;
17;Aminotriazole;Triazole;Herbicide;;2,562;91,000;;148000,0000;18,0;très stable;1000;6,1;2,3;2,3;> 10000;5000;0.00003;IV;;;;;;;;
18;Amitraz;Amidine;Acaricide;Poirier;-0,700;1000,000;0,20;0,1000;1,0;instable;0,74;0,035;12;0,035;> 200;800;0.003;III;35 j;E04-4-004;BYEBYE 200 EC;EC;C;200 g/l;Parties aériennes;250 cc/hl
19;Atrazine;Triazine;Herbicide;;3,200;174,000;66,00;35,0000;29,0;très stable;4,5;85;0,059;0,059;7500;2000;0.005;III;;;;;C;;;
20;Azaconazole;Triazole;Fongicide;;;;;300,0000;;stable;18;86;;18;> 2560;308;0.03;II;;;;;B;;;
21;Azadirachtine;;Insecticide;Agrume et maraichage;1,406;381,300;;2900,0000;;;;;;;> 2000;5000;;III;3 j;E07-9-005;NEEMAZAL-T/S;EC;C;10 g/l;Parties aériennes;300 cc/hl
22;Azinphos-méthyl;Organophosphoré;Insecticide;Betterave à sucre, arboriculture et vigne;1,348;882,000;19,00;28,0000;29,0;stable;0,071;0,0011;0,00715;0,0011;220;16;0.0025;1b;30 j;B09-7-008;AZINKOTHION WP 25;WP;A;25%;Parties aériennes;200 g/hl
23;Azocyclotin;Organostannane;Acaricide;;0,500;4450,000;27,00;0,0400;26,5;instable;0,004;0,04;0,16;0,004;> 1000;80;0.003;II;;;;;B;;;
24;Azoxystrobine;Strobilurine;Fongicide;Céréales, maraichage, plante aromatique, fraisier et vigne;2,532;581,000;112,00;6,0000;21,0;très stable;0,47;0,13;0,36;0,13;> 5000;> 2000;0,2;III;14 j;D02-8-001;AMISTAR SC;SC;C;250 g/l;Parties aériennes;0,8 l/ha
25;Bacillus subtilis;;Fongicide;Tomate, vigne et fraisier;;;;insoluble;;;;;;;;5050;;III;NR;E11-9-004;COMPANION;LC;C;"0,03 g/l
(1,5x107^
cfu/ml)";Traitement des sols;5 l/ha (Micro-irrigation)
26;Bénalaxyl + Cuivre;Amide;Fongicide;Betterave à sucre, maraichage, vigne et arboriculture;0,560;4998,000;365,00;28,0000;54,0;très stable;3,75;0,59;2,4;0,59;> 5000;4200;0,1;III;-;E06-3-018;TAIREL C4-33;WP;C;(4 + 33)%;Parties aériennes;600 g/hl
27;Bénomyl;Benzimidazole;Fongicide;;-0,070;1900,000;0,80;2,0000;67,0;instable;0,17;0,28;2;0,17;> 10000;> 10000;0,02;IV;;;;;;;;
28;Bentazone;Thiadiazinone;Herbicide;Haricot et luzerne;2,554;51,000;13,00;570,0000;10,0;stable;100;64;10,1;10,1;> 2500;1100;0,1;III;-;B11-8-003;BASAGRAN;EC;C;480 g/l;Désherbage;3 l/ha
29;Beta-cyfluthrine;Pyréthrinoïde;Insecticide;Betterave à sucre, pommier et tomate;-1,885;64300,000;215,00;0,0066;13,0;très stable;0,000068;0,00029;10;0,000068;> 2500;380;0,1;II;21 j;E02-3-002;BULLDOCK O25;SC;C;25 g/l;Parties aériennes;150 cc/ha
30;Bifenazate;Hydrazine carboxylate;Acaricide;Agrumes, arboriculture, maraichage et betterave;-0,230;368,000;0,69;2,0600;5,8;instable;0,58;0,5;0,2;0,2;> 5000;> 5000;0,01;;28 j;E02-9-026;ACRAMITE 480 SC;SC;C;480 g/l;Parties aériennes;50 cc/hl
31;Bifenthrine;Pyréthrinoïde;"Insecticide-
Acaricide";Agrumes, arboriculture, et maraichage;-2,719;237000,000;95,00;0,1000;34,5;instable;0,00015;0,00011;10;0,00011;> 2000;54,5;0,02;II;3 j;E02-7-018;BISECT;EC;C;100 g/l;Parties aériennes;40 cc/hl
32;Bitertanol;Triazole;Fongicide;Arboriculture et rosier;0,570;2461,000;8,50;3,8000;23,0;très stable;2,1;2,79;0,31;0,31;> 5000;> 5000;0,003;III;30 j;B01-3-001;BAYCOR 25 WP;WP;C;25%;Parties aériennes;75 g/hl
33;Boscalid;Amide;Fongicide;Céréales, maraichage, laitue, plantes aromatique, fraisier, melon et vigne;1,643;772,000;30,00;5,0000;200,0;très stable;2,7;5,33;1,34;1,34;;> 5000;0,04;;;;;;;;;
34;Brodifacoum;Antivitamine K;Rodenticide;Locaux de stockage et parcours;-1,032;50000,000;30,00;0,0038;157,0;stable;0,051;0,89;;0,051;200;0,3;0,00004;;-;E05-8-018;BRODITOP PELLET;GB;A;0,005%;Dératisation;"50-100 g/poste
d'appâtage"
35;Bromacile;Uracile;Herbicide;;3,440;117,000;60,00;815,0000;147,5;stable;71;119;0,013;0,013;> 5000;5200;0,13;III;;;;;;;;
36;Bromopropylate;Diphényl;Acaricide;;0,350;6309,000;59,00;0,1000;59,0;très stable;0,35;0,17;52;0,17;> 4000;> 5000;0,01;III;;;;;;;;
37;Bromoxynil;Phenylamide;Herbicide;;-0,340;192,000;0,63;38000,0000;80,0;très stable;;;;;> 2000;190;0,01;II;;;;;;;;
38;Bromoconazole;Benzothiazolone;Fongicide;;1,565;872,000;30,00;36,5000;21,0;stable;27;233,4;16;16;> 2000;365;0,025;II;;;;;;;;
39;Bromure de méthyle;Organochloré;Fumigant;Maraichage, arboriculture et désinfection de sol;4,625;22,000;12,00;11600,0000;55,0;instable;3,9;2,6;3,2;2,6;;;0,001;;;;;GA;A;(98 + 2)%;"Traitement des
denrées stockées";"3
18-100 g/m"
40;Bupirimate;Pyrimidine;Fongicide;Arboriculture, maraichage et bananier;1,470;1882,000;107,00;13,0600;63,0;stable;1;7,3;50;1;500;4000;0,05;III;-;A03-6-028;NIMROD 25 EC;EC;C;250 g/l;Parties aériennes;60 cc/hl
41;Buprofézine;Thiadiazine;Insecticide;Agrumes et tomate;0,580;5334,000;135,40;0,4600;80,0;stable;0,33;0,42;2,1;0,33;> 5000;2198;0,01;III;7 j;E04-1-001;APPLAUD 25 SC;SC;C;250 g/l;Parties aériennes;150 cc/hl
42;Butocarboxime;;Insecticide;;4,870;10,000;42,00;209000,0000;;;;;;;360;158;0,02;1b;;;;;;;;
43;Cadusafos;Organothiophosphate;Nématicide;Bananier, tomate;2,880;227,000;56,70;245,0000;36,2;très stable;130;0,231;4300;0,231;360;158;0,02;1b;7 j;D05-0-002;RUGBY 10 G;MG;A;10%;Traitement des sols;40 kg/ha
44;Captafol;;Fongicide;;1,110;2000,000;39,00;1,4000;;;;;;;> 15400;5000;;;;;;;;;;
45;Captane;Dicarboximide;Fongicide;Maraichage, olivier, arboriculture et vigne;-0,165;200,000;0,80;5,2000;3,8;instable;0,098;5,2;1,6;0,098;> 4500;9000;0,01;III;30 j;D10-4-002;CAPTANE 50 WP;WP;C;50%;Parties aériennes;300 g/hl
46;Carbaryl;Carbamate;Insecticide;Olivier et arboriculture;2,018;211,000;16,00;9,1000;25,8;instable;2,6;0,0064;0,7;0,0064;> 4000;850;0,008;II;15 j;526;SEVIN 85 WP;WP;C;85%;Parties aériennes;150 g/hl
47;Carbendazime;Carbamate;Fongicide;Arboriculture, tomate, céréale et vigne;2,530;225,000;34,30;8,0000;18,0;très stable;0,44;0,15;8;0,15;10000;15000;0,03;III;15 j;E02-9-007;CROPZIM 500 SC;SC;C;500 g/l;Parties aériennes;60 cc/hl
48;Carbofuran;Carbamate;Insecticide;Betterave à sucre et tomate;2,284;86,500;12,80;322,0000;20,8;stable;0,18;0,0094;6,5;0,0094;2550;8;0,002;1b;-;E04-6-003;AXLERA 5G;MG;A;5%;Traitement des sols;20 kg/ha
49;Carbosulfan;Carbamate;Insecticide;;0,990;2113,000;29,20;0,1100;7,8;instable;0,015;0,0015;20;0,0015;> 2000;250;0,01;II;;;;;;;;
50;Carboxine (DCMO);Amide;Fongicide;Céréales: semences;-2,150;1,300;0,28;142,0000;3,0;très stable;1,2;84,4;0,48;0,48;> 4000;3820;0,01;III;NR;B02-8-001;VITAVAX 200 FF;EC;C;(17 + 17)%;"Traitement des
semences";200 cc/ql
51;Carfentrazone-éthyle;Triazolinone;Herbicide;;0,000;486,040;1,00;29,3000;0,5;instable;1,6;9,8;0,012;0,012;> 4000;5143;0,03;III;;;;;;;;
52;Chinométhionate;Dithiocarbamate;Acaricide, Fongicide;;0,730;38,000;0,80;1,0000;30,0;instable;0,0334;0,12;0,0069;0,0069;> 500;2500;0,006;III;;;;;;;;
53;Chloranthraniliprole;Anthranilic diamide ;Insecticide;Agrume, céréale et maraichage;4,223;301,000;597,00;0,8800;237,0;instable;;;;;> 500;2500;0,006;III;7 j;E12-9-001;CORAGEN;SC;C;200 g/l;Parties aériennes;15 cc/hl
54;Chloridazone;Pyridazinone;Herbicide;;2,780;199,000;43,10;422,0000;36,5;très stable;19,9;10;0,97;0,97;> 2500;2420;0,16;III;;;;;;;;
55;Chlormequat chlorure (CCC);Ammonium quaternaire;"Régulateur de
croissance";Céréales: Blés;2,566;132,000;23,20;886000,0000;14,5;stable;1000;16,9;5656;16,9;> 4000;966;0,05;III;90 j;E02-9-021;BELCOCEL;SL;C;460 g/l;Régulation;2 l/ha
56;Chlorprophame;Carbamate;Herbicide;Pomme de terre;1,190;418,000;7,30;110,0000;25,0;très stable;5,3;2,6;1;1;> 2000;4200;0,1;III;;;;;;;;
57;Chlorpyriphos-éthyl;Organophosphoré;Insecticide;Agrumes, betterave à sucre, maraichage, arboriculture et mais;0,010;9930,000;2118,00;1,1800;18,7;très stable;0,00054;0,000014;0,027;0,000014;2000;135;0,01;II;45 j;F03-0-015;BONANZA 450 EW;EW;C;450 g/l;Parties aériennes;160 cc/hl
58;Chlorpyriphos-méthyl;Organophosphoré;Insecticide;Locaux de stockage, agrume, melon, poivron et tomate;0,170;4645,000;21,00;2,7400;3,0;stable;0,41;0,00062;0,54;0,00062;> 2000;> 3000;0,01;III;NR;D11-5-001;RELDAN 40 EC;EC;A;400 g/l;Traitement des locaux de stockage;125 cc/5 l/100 m²
59;Chlozolinate;Oxazolidine;Fongicide;;0,280;1150,000;2,00;32,0000;0,4;;27,5;1,18;30;1,18;> 5000;> 4500;0,1;III;;;;;;;;
60;Chromazfenozide;;Insecticide;Maïs, pommier, haricot vert et tomate;3,096;346,800;132,00;0,8000;;;;;;;> 2000;> 5000;0,27;;30 j;E02-3-001;MATRIC 5 SC;SC;C;5%;Parties aériennes;75 cc/hl
61;Cléthodime;Cyclohexanedione;Herbicide;Betterave à sucre;-0,686;22,700;0,55;5450,0000;2,0;très stable;3,4;5,1;1,5;1,5;> 5000;1630;0,01;III;60 j;E05-8-011;AKODIM;EC;C;120 g/l;Désherbage;1 l/ha
62;Clodianafop-propargyl;Aryloxyacide;Herbicide;Blés et triticale;-0,081;1446,000;0,80;4,0000;12,5;instable;0,21;0,37;1,6;0,21;> 2000;1826;0,004;III;75 j;E11-8-056;BRUMBY 80 EC;EC;C;80 g/l;Désherbage;0,75 l/ha
63;Clofentézine;Tetrazine;Acaricide;;0,151;1064,000;1,43;0,0020;131,0;instable;0,0008;0,0146;0,032;0,0008;> 1332;3200;0,02;IV;;;;;;;;
64;Clodianafop-méxyl (Safener);;Herbicide;Blés et triticale;-0,262;13257,000;139,00;0,5900;;;;;;;> 2000;> 2000;0,04;III;75 j;E11-9-083;TALLIS 240 EC;EC;C;240 g/l;Désherbage;0,25 l/ha
65;Cuivre;Amide;Fongicide;Arbres fruitiers, maraichage, olivier et vigne;3,921;295,000;365,00;3,0000;23,5;instable;100;81;128;81;> 3160;489;0,02;III;15 j;B06-7-009;CUIVROL 50% WP;WP;C;50%;Parties aériennes;500 g/hl
66;Cuivre -hydroxyde de cuivre;Vitamine D;Fongicide;Arbres fruitiers, maraichage, olivier et vigne;-0,317;12000,000;10000,00;2,9000;;stable;;;;;> 3160;489;;III;15 j;D10-5-003;BLEUE SHIELD WP;WP;C;50% -[77%];Parties aériennes;500 g/hl
67;Cuivre -oxychlorure de cuivre;Minéral;Fongicide;Arbres fruitiers, agrume, maraichage, olivier et vigne;0,015;12000,000;;0,0000;5000,0;stable;0,016;0,408;;0,016;> 2000;700;0,15;III;15 j;485;COBOX;WP;C;50% -[80%];Parties aériennes;500 g/hl
68;Cuivre -sulfate de cuivre;Minéral;Fongicide;Arbres fruitiers, agrume, maraichage, olivier et vigne;0,090;9500,000;10000,00;3,4200;10000,0;stable;;;;;848;223;0,01;;15 j;E03-2-004;BORDEAUX CAFFARO;WP;C;20% -[80%];"Parties aériennes
(badigeonnage)";1,25 kg/5 l
69;Cyanamid Hydrogène;;"Régulateur de
croissance";Pommier et vigne;0,224;293,000;1,40;560000,0000;3,5;très stable;88;0,21;13,2;0,21;848;223;0,01;;-;D09-3-002;DORMEX;SL;A;49%;Régulation;3 l/hl
70;Cyantraniliprole;;;;2,634;193,000;34,40;14,2000;;;;;;;> 5000;> 2250;;;;;;;;;;
71;Cycloxydime;Cyclohexanedione;Herbicide;Arbres fruitiers, agrume, maraichage, olivier et vigne;-0,420;59,000;172,00;52,0000;5,0;très stable;100;241,5;32;32;> 2000;3940;0,06;III;28 j;D10-1-001;FOCUS ULTRA;EC;C;100 g/l;Désherbage;2 l/ha et 4-6 l/ha
72;Cyfluthrine;Pyréthrinoïde;Insecticide;;-1,870;123930,000;51,00;0,0066;33,0;très stable;0,00047;0,00016;10;0,00016;> 5000;84;0,2;1b;;;;;;;;
73;Cyhalofop butyl;Aryloxyester;Herbicide;Riz;-0,196;1016,000;0,20;0,4400;;très stable;0,789;2,7;0,96;0,789;> 2000;> 5000;0,003;IV;-;D05-9-001;CLINCHER;EC;C;200 g/l;Désherbage;1 l/ha
74;Cyhéxatin;Organostannane;Acaricide;Arbres fruitiers, melon et tomate;0,610;4365,000;50,00;1,0000;50,0;stable;0,004;0,0002;;0,0002;> 2000;540;0,007;III;30 j;B03-1-005;AKABAR PM 25;WP;C;25%;Parties aériennes;100 g/hl
75;Cymoxanil ;Cyanoacetamide oxime;Fongicide;Maraichage et vigne;0,340;43,600;1,40;514,0000;7,5;instable;13,5;27;1,21;1,21;> 2000;1425;0,05;III;15 j;E04-6-017;CURZATE R;WG;C;(4,2 + 39,75)%;Parties aériennes;2 kg/ha
76;Cyperméthrine;Pyréthrinoïde;Insecticide;Maraichage, betterave à sucre, cotonnier;-2,190;156250,000;68,00;0,0090;106,5;très stable;0,0028;0,0003;0,1;0,0003;> 2400;250;0,05;II;15 j;D12-8-006;AFRISECT 10;EC;C;100 g/l;Parties aériennes;250 cc/ha
77;Cyproconazole ;Triazole;Fongicide;Céréales;3,097;364,000;142,00;93,0000;48,5;très stable;7,2;26;0,077;0,077;> 2000;1020;0,01;II;42 j;F03-0-014;CHEROKEE 487,5 SE;SE;C;"(50 + 62,5 +
375)g/l";Parties aériennes;1,5 l/ha
78;Cyprodinil;Pyrimidine;Fongicide;Pommier et vigne;1,108;2277,000;53,00;13,0000;44,7;très stable;2,17;0,033;2,11;0,033;> 2000;1020;0,035;II;-;E02-7-003;CHORUS 50 WG;WG;C;50%;Parties aériennes;500 g/ha
79;Cyromazine;Triazine;Insecticide;Aubergine, courgette, laitue, tomate et plante aromatique;2,018;756,000;28,00;11600,0000;9,7;instable;100;9,1;;9,1;> 3100;3387;0,02;III;7 j;D11-5-004;TRIGARD 100 SL;SL;C;100 g/l;Parties aériennes;1 l/ha
80;Dazomet;Tetrahydrothiadiazinethione;"Nématicide-
Désinfectant";Sols nus;-0,450;260,000;0,52;3500,0000;1,2;instable;0,16;0,3;1,08;0,16;> 2000;640;0,01;III;-;975;BASAMID;MG;C;97%;Traitement des sols;500 kg/ha
81;Deltaméthrine;Pyréthrinoïde;Insecticide;Toutes cultures;-4,259;10240000,000;26,00;0,0002;21,0;instable;0,00026;0,00056;10;0,00026;> 2000;135;0,01;II;7 j;F11-0-061;AMIRAL 28 EC;EC;C;28 g/l;Parties aériennes;300 cc/ha
82;Desmédiphane;Carbamate;Herbicide;;-0,021;10541,000;1,00;7,0000;7,5;instable;0,25;0,45;0,01;0,01;4000;5000;0,001;III;;;;;;;;
83;Diazinon;Organophosphoré;Insecticide;Bananier, mais, maraichage et betterave à sucre;1,140;643,000;9,10;60,0000;18,4;très stable;0,27;0,00096;6,4;0,00096;540;300;0,002;II;-;1066;BASUDINE 10 G;GR;C;10%;Traitement des sols;10-5 kg/ha
84;Dicamba;Acide carboxylique;Herbicide;Céréales d'automne;1,751;12,360;4,00;250000,0000;14,0;stable;135;111;107;107;> 2000;1707;0,02;III;-;E11-0-001;LINTUR 70 WG;WG;C;65,90%;Désherbage;150 g/ha
85;Dichlorofluanide;Sulfamide;Fongicide;;0,380;1100,000;2,50;1,3000;3,5;instable;0,01;0,42;1;0,01;> 5000;500;0,2;IV;;;;;;;;
86;Dichlormide (Sefener);;phytoprotecteur;;2,199;36,750;8,00;729,0000;8,0;très stable;141;161;33;33;> 2000;2816;0,01;III;;;;;;;;
87;Dichloropropène ;Aryloxyacide;Fumigant;Bananier, maraichage et tomate;2,730;41,200;14,00;350,0000;10,0;stable;0,5;100;1100;0,5;1200;150;0,06;III;;;;;;;;
88;Dichloroprop ou 2,4-DP;Aryloxyacide;Herbicide;;2,734;41,200;14,00;350,0000;19,0;très stable;150;100;26,5;26,5;> 4000;800;0,06;III;;;;;;;;
89;Dichlorvos;Organophosphoré;Iinsecticide;Tomate et vigne;0,690;50,000;2,00;18000,0000;2,0;instable;0,55;;;0,55;107;56;0,004;1b;;;;;;;;
90;Diclofopméthyl;Aryloxyacide;Herbicide;Betterave à sucre, légumineuse et céréales;0,163;20869,000;0,31;0,3900;75,0;stable;0,24;0,23;1,5;0,23;180;565;0,001;III;-;B08-0-001;ILLOXAN 36 CE;EC;C;360 g/l;Désherbage;3 l/ha
91;Dicofol;Organochloré;Acaricide;Agrumes, arbres fruitiers, maraichage;0,359;6064,000;45,00;0,8000;80,0;instable;0,51;0,14;0,075;0,075;2100;809;0,025;III;15 j;B02-7-002;CALLIFOL;EC;C;480 g/l;Parties aériennes;100 cc/hl
92;Dicrotophos;;Insecticide, Acaricide;;3,080;75,000;28,00;1000000,0000;;;;;;;224;17;;1b;;;;;;;;
93;Difénacoum;Antivitamine K;Raticide;;-3,260;170700,000;439,00;1,7000;290,0;très stable;0,1;0,52;2,5;0,1;1000;1,8;;1a;;;;;;;;
94;Difénoconazole;Triazole;Fongicide;Maraichage, betterave à sucre, céréales et semences;0,900;3760,000;130,00;15,0000;85,0;instable;0,81;0,77;1,2;0,77;> 2010;1453;0,01;III;7 j;E05-8-004;DIFCOR 250 EC;EC;C;250 g/l;Parties aériennes;50 cc/hl
95;Diflubenzuron;Benzoylurée;Insecticide;Arbres fruitiers, olivier, plantes aromatiques, ornementales et cotonier;0,169;4620,000;3,20;0,0800;31,5;très stable;100;7,1;;7,1;> 2000;4640;0,02;III;30 j;B07-0-001;DIMILIN ODC 45;EC;C;480 g/l;Parties aériennes;40 g/hl
96;Diflufénicanil;Amide;Herbicide;Olivier;1,510;1996,000;141,80;0,0500;315,0;stable;0,109;0,24;0,00244;0,00244;2000;2000;0,2;III;;;;;;;;
97;Diméthoate;Organophosphoré;Insecticide;Olivier, plantes ornementales et cotonnier;1,057;28,300;2,60;39800,0000;7,2;très stable;30,2;2;90,4;2,0000;> 800;150;0,002;II;30 j;E11-8-005;DANADIM PROGRESS;EC;A;400 g/l;Parties aériennes;100 cc/hl
98;Diméthomorphe;Acide carboxylique;Fongicide;Vigne, pomme de terre et tomate;2,560;348,000;56,70;28,9500;42,1;très stable;3,4;10,6;;3,4000;> 5000;4300;0,05;III;30 j;D07-7-001;ACROBAT MZ WP;WP;C;9%;Parties aériennes;2,5 kg/ha
